Image,Button,Status,Red_Area,Blue_Area,Red_Thickness,Blue_Thickness,Global_Offset_X,Global_Offset_Y,Misalignment_Px
85.png,button_4,OK,1605.5,1250.0,11.46,9.55,-0.66,3.6,0.81
85.png,button_5,OK,1365.0,1273.5,9.55,10.13,-0.66,3.6,0.86
85.png,button_6,OK,1580.0,1098.5,12.04,8.47,-0.66,3.6,3.88
85.png,button_7,OK,1428.5,1274.0,9.3,10.38,-0.66,3.6,2.89
85.png,button_8,OK,1588.5,1147.0,12.04,9.3,-0.66,3.6,1.01
86.png,button_1,OK,1402.0,1457.0,10.13,10.95,-1.19,3.24,1.33
86.png,button_2,OK,1598.5,1247.0,12.04,10.13,-1.19,3.24,1.3
86.png,button_3,OK,1559.0,1426.0,10.13,10.95,-1.19,3.24,4.24
86.png,button_4,OK,1605.5,1250.0,11.46,9.55,-1.19,3.24,0.18
86.png,button_5,OK,1365.0,1273.5,9.55,10.13,-1.19,3.24,1.33
86.png,button_6,OK,1580.0,1098.5,12.04,8.47,-1.19,3.24,3.42
86.png,button_7,MISSING_BOTH,0,2.5,0.0,1.91,-1.19,3.24,0.0
86.png,button_8,OK,1588.5,1147.0,12.04,9.3,-1.19,3.24,1.22
87.png,button_1,OK,1402.0,1457.0,10.13,10.95,-1.23,3.23,1.38
87.png,button_2,OK,1598.5,1247.0,12.04,10.13,-1.23,3.23,1.26
87.png,button_3,OK,1559.0,1426.0,10.13,10.95,-1.23,3.23,4.29
87.png,button_4,OK,1605.5,1250.0,11.46,9.55,-1.23,3.23,0.15
87.png,button_5,MISSING_BOTH,0,23.5,0.0,1.91,-1.23,3.23,0.0
87.png,button_6,OK,1580.0,1098.5,12.04,8.47,-1.23,3.23,3.37
87.png,button_7,MISSING_BOTH,0,2.5,0.0,1.91,-1.23,3.23,0.0
87.png,button_8,OK,1588.5,1147.0,12.04,9.3,-1.23,3.23,1.23
9.png,button_1,OK,1462.0,1433.0,10.95,10.95,-0.62,1.99,0.95
9.png,button_2,OK,1663.0,1280.0,12.29,10.13,-0.62,1.99,1.35
9.png,button_3,OK,1581.5,1430.5,10.78,10.95,-0.62,1.99,3.85
9.png,button_4,OK,1619.0,1266.0,12.04,10.13,-0.62,1.99,0.68
9.png,button_5,OK,1406.0,1279.0,10.13,10.38,-0.62,1.99,0.81
9.png,button_6,OK,1558.5,1106.0,12.29,8.47,-0.62,1.99,2.92
9.png,button_7,OK,1468.5,1327.0,10.13,10.95,-0.62,1.99,4.26
9.png,button_8,OK,1558.0,1114.0,12.04,8.47,-0.62,1.99,0.43
